,data,encoding,regressor,mse,r2,pcc,ktc
0,0,CTDD,SVM,0.379507103085582,0.233813948880071,0.515097923313755,0.371980916983424
1,0,CTDD,RF,0.258963531509094,0.47717909894751,0.696757766104543,0.49011239801537
2,0,QSOrder,SVM,0.324757501796383,0.344347797841264,0.61233907285109,0.447794586257135
3,0,QSOrder,RF,0.259669886247334,0.475753040928616,0.700236699299724,0.484888618473038
4,0,CTDC,SVM,0.416465905839019,0.159197903737458,0.44020834776828,0.355933268653631
5,0,CTDC,RF,0.281370663368363,0.43194138999136,0.666954820136977,0.460996662306185
6,0,CTDT,SVM,0.416601596918487,0.158923957317207,0.433047414534762,0.347299576415377
7,0,CTDT,RF,0.30140836014205,0.391487328289364,0.633689507961651,0.436890436082819
8,1,CTDD,SVM,0.278827029730326,0.300088311544698,0.552488946568588,0.382600394234535
9,1,CTDD,RF,0.23872150132168,0.400761220236643,0.637278528880174,0.449170564931078
10,1,QSOrder,SVM,0.271185940145263,0.319268976770348,0.571558634302942,0.408336877210071
11,1,QSOrder,RF,0.248178275589981,0.377022822808429,0.615396779223683,0.41396673286097
12,1,CTDC,SVM,0.307702471183244,0.227605170287731,0.482619810703889,0.344071103331792
13,1,CTDC,RF,0.254583038846419,0.360945584280639,0.60848579067018,0.427446067457342
14,1,CTDT,SVM,0.299789577871251,0.24746811730517,0.50380963771421,0.336994772211599
15,1,CTDT,RF,0.267338790361685,0.328926093239182,0.574279953238015,0.383344479374968
16,2,CTDD,SVM,0.325128721731288,0.295656659456104,0.558871330801883,0.410525655071948
17,2,CTDD,RF,0.260609882536144,0.435427192446052,0.661222152117812,0.476297117995696
18,2,QSOrder,SVM,0.285903091073869,0.380633193012011,0.624475481610108,0.467630273702703
19,2,QSOrder,RF,0.271115682923952,0.412667928051218,0.644349767547797,0.48312484413633
20,2,CTDC,SVM,0.353859499370875,0.23341567443536,0.498645457884164,0.360634456139698
21,2,CTDC,RF,0.283908246649444,0.384954728735717,0.621025711815137,0.457642124248556
22,2,CTDT,SVM,0.34754219144473,0.247101188727215,0.502003257258687,0.367476792444222
23,2,CTDT,RF,0.32284876880929,0.300595840617374,0.550600191410261,0.402743897024392
24,3,CTDD,SVM,0.304984939347481,0.293462466264411,0.546582586895691,0.401036679507302
25,3,CTDD,RF,0.250737255888132,0.419134325878989,0.648846553291481,0.456537807381936
26,3,QSOrder,SVM,0.285215567365836,0.339260804219384,0.585460572720643,0.438946654398764
27,3,QSOrder,RF,0.260219456891593,0.397167566058965,0.63230554723845,0.473334179734947
28,3,CTDC,SVM,0.349790301812832,0.189664979207744,0.441744237292559,0.343250351515611
29,3,CTDC,RF,0.282983887341366,0.344430783117193,0.590170490939633,0.412864523772608
30,3,CTDT,SVM,0.356834810156866,0.173345453520927,0.423847584007401,0.359373638915772
31,3,CTDT,RF,0.290700392694098,0.326554488397062,0.573954486938401,0.401727687389103
32,4,CTDD,SVM,0.267374526484831,0.299864729679417,0.548114602307263,0.387073650284611
33,4,CTDD,RF,0.219139156271337,0.42617176575884,0.657261293928976,0.442157252587611
34,4,QSOrder,SVM,0.25544705883714,0.331097476102737,0.575956754768725,0.401819532928774
35,4,QSOrder,RF,0.243669778042649,0.36193694978446,0.608949891268389,0.437763691642997
36,4,CTDC,SVM,0.302933195586565,0.206752350085563,0.459314312900718,0.333789747039381
37,4,CTDC,RF,0.254486338833645,0.333613175590614,0.585716944601761,0.385307135649961
38,4,CTDT,SVM,0.326740729017579,0.144410981692955,0.407272714163126,0.297711172449191
39,4,CTDT,RF,0.287867959930101,0.246201518925435,0.514494127881162,0.368126055750287
